table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_total
9813,r001,All states,All states,,1,"['196,418', '  ']"
9813,r002,All states -> Alabama,All states,Alabama,2,"['798', '  ']"
9813,r003,All states -> Alaska,All states,Alaska,2,"['197', '  ']"
9813,r004,All states -> Arizona,All states,Arizona,2,"['955', '  ']"
9813,r005,All states -> Arkansas,All states,Arkansas,2,"['784', 'i ']"
9813,r006,All states -> California,All states,California,2,"['19,984', '  ']"
9813,r007,All states -> Colorado,All states,Colorado,2,"['1,597', '  ']"
9813,r008,All states -> Connecticut,All states,Connecticut,2,"['529', '  ']"
9813,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']"
9813,r010,All states -> District of Columbia,All states,District of Columbia,2,"['5,527', '  ']"
9813,r011,All states -> Florida,All states,Florida,2,"['6,496', 'i ']"
9813,r012,All states -> Georgia,All states,Georgia,2,"['686', '  ']"
9813,r013,All states -> Hawaii,All states,Hawaii,2,"['352', '  ']"
9813,r014,All states -> Idaho,All states,Idaho,2,"['683', '  ']"
9813,r015,All states -> Illinois,All states,Illinois,2,"['7,185', 'i ']"
9813,r016,All states -> Indiana,All states,Indiana,2,"['1,016', '  ']"
9813,r017,All states -> Iowa,All states,Iowa,2,"['53', '  ']"
9813,r018,All states -> Kansas,All states,Kansas,2,"['120', '  ']"
9813,r019,All states -> Kentucky,All states,Kentucky,2,"['166', '  ']"
9813,r020,All states -> Louisiana,All states,Louisiana,2,"['228', '  ']"
9813,r021,All states -> Maine,All states,Maine,2,"['1,392', '  ']"
9813,r022,All states -> Maryland,All states,Maryland,2,"['6,541', '  ']"
9813,r023,All states -> Massachusetts,All states,Massachusetts,2,"['33,838', '  ']"
9813,r024,All states -> Michigan,All states,Michigan,2,"['1,781', '  ']"
9813,r025,All states -> Minnesota,All states,Minnesota,2,"['20,178', 'i ']"
9813,r026,All states -> Mississippi,All states,Mississippi,2,"['13', '  ']"
9813,r027,All states -> Missouri,All states,Missouri,2,"['504', '  ']"
9813,r028,All states -> Montana,All states,Montana,2,"['43', '  ']"
9813,r029,All states -> Nebraska,All states,Nebraska,2,"['38', '  ']"
9813,r030,All states -> Nevada,All states,Nevada,2,"['159', '  ']"
9813,r031,All states -> New Hampshire,All states,New Hampshire,2,"['S', '  ']"
9813,r032,All states -> New Jersey,All states,New Jersey,2,"['1,403', '  ']"
9813,r033,All states -> New Mexico,All states,New Mexico,2,"['185', '  ']"
9813,r034,All states -> New York,All states,New York,2,"['18,538', '  ']"
9813,r035,All states -> North Carolina,All states,North Carolina,2,"['4,237', '  ']"
9813,r036,All states -> North Dakota,All states,North Dakota,2,"['S', '  ']"
9813,r037,All states -> Ohio,All states,Ohio,2,"['10,025', '  ']"
9813,r038,All states -> Oklahoma,All states,Oklahoma,2,"['657', '  ']"
9813,r039,All states -> Oregon,All states,Oregon,2,"['520', '  ']"
9813,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['4,108', '  ']"
9813,r041,All states -> Rhode Island,All states,Rhode Island,2,"['2,355', '  ']"
9813,r042,All states -> South Carolina,All states,South Carolina,2,"['113', '  ']"
9813,r043,All states -> South Dakota,All states,South Dakota,2,"['0', '  ']"
9813,r044,All states -> Tennessee,All states,Tennessee,2,"['4,460', '  ']"
9813,r045,All states -> Texas,All states,Texas,2,"['8,232', '  ']"
9813,r046,All states -> Utah,All states,Utah,2,"['702', '  ']"
9813,r047,All states -> Vermont,All states,Vermont,2,"['133', '  ']"
9813,r048,All states -> Virginia,All states,Virginia,2,"['14,892', '  ']"
9813,r049,All states -> Washington,All states,Washington,2,"['8,710', '  ']"
9813,r050,All states -> West Virginia,All states,West Virginia,2,"['81', '  ']"
9813,r051,All states -> Wisconsin,All states,Wisconsin,2,"['4,846', '  ']"
9813,r052,All states -> Wyoming,All states,Wyoming,2,"['3', '  ']"
